sentence,label,source
good thing fits comfortably small ears,1,1
warning buy,0,1
pairing iphone could happier far,1,1
opens battery connection broken device turned,0,1
didnt want clip going top ear causing discomfort,0,1
best headset ever,1,1
dont trust website dont expect helpful support,0,1
loudglad say plantronics 510 maintains flawless connection cell static normal use,1,1
speaker low quality making ring tones sound cheap,0,1
fits comfortably came three sizes earbud tips,1,1
excellent product price,1,1
bad reception,0,1
product high quality chinese crap,0,1
quite comfortable ear,1,1
great phone,1,1
dont buy product fails,0,1
everything product wrongfirst,0,1
pairing two devices easy barely took couple minutes started making calls voice dialing feature,1,1
utterly confusing first caused lose couple important contacts,0,1
terrible phone holder,0,1
cutouts buttons placed perfectly,1,1
love able use one headset landline cell,1,1
problem ear loops made weak material break easily,0,1
nearly good looking amazon picture makes look,0,1
despite flaws case exceptional quality well worth additional costs owning official oem product,1,1
stupid,0,1
hear im driving car usually dont even put loudest setting,1,1
seller shipped quickly much cheaper competitors,1,1
good show samsung,1,1
bought 10 saved alot money,1,1
always cuts makes beep beep beep sound says signal failed,0,1
couldnt figure,0,1
phone sounded ok great ok wifes phone almost totally unintelligible couldnt understand word said,0,1
take battery phone put back together restart,0,1
managed bend leaf spring back place metal enough stress break next drop,0,1
leopard print wonderfully wild,1,1
works,1,1
saggy floppy piece junk,0,1
much better hard plastic cases,1,1
also new problem,0,1
happy far,1,1
cool phone,1,1
works good,1,1
motorola finally got voice quality bluetooth headset right,1,1
looses connection phone even within couple feet two,0,1
great would really recommend,1,1
makes easier keep bluetooth im wearing,0,1
said abovepretty useless,0,1
never got,0,1
pair headphones worst ever soundwise,0,1
drain weak snap,0,1
charge cingular att 8525 phone,0,1
get extra minutes carry call get cut,1,1
however year fliptop started get loose wobbly eventually screen went black couldnt receive place calls,0,1
kept catching cable seat pull phone turn,0,1
headset fulfills requirements happy purchase,1,1
logitech bluetooth headset 10,1,1
like fact rests lightly ear rather inside,1,1
lot websites rating good phone,1,1
tried cables computer ipod works fine,1,1
mic joke volume quite low,0,1
im returning,0,1
maintain connection computer lap,0,1
easy turn car volume controls quite accessable,1,1
mine year christmas bought rest family,1,1
otherwise easy install use clear sound,1,1
nice leather,1,1
purchase different case,0,1
joy use,1,1
much disappointed company,0,1
satisifed,1,1
didnt charge,0,1
phone get 2005 bought s710a say wow,1,1
buttons small,0,1
reading specs alone makes say wow,1,1
love great armband,1,1
really like product motorola allot clearer ear piece mic,1,1
however keypads tinny sometimes reach wrong buttons,0,1
exchanged sony ericson z500a im pretty happy decision,1,1
impressed price cases,1,1
also makes easier hold,1,1
use product motor control center lot high voltage humming equipment works great,1,1
pretty easy,1,1
cannot make calls certain places,0,1
however girl complain time phone doesnt wake like normal phone,0,1
beautiful styling though,1,1
company charge restocking fee still given refund back,0,1
im trying return refund,0,1
plugged find darn thing worked,0,1
excellent product,1,1
earbud piece breaks easily,0,1
lousy product,0,1
phone tries hard everything fails ability phone,0,1
best charger seen market yet,1,1
sweetest phone,1,1
oh charger seems work fine,1,1
fits securely ear hook even need used sound better directed ear canal,1,1
enough volume,0,1
echo problemvery unsatisfactory,0,1
could take 2 videos time quality poor,0,1
dont waste money,0,1
going first negatively review product,0,1
adapter provide enough charging current,0,1
much hype phone assumed best mistake,0,1
also cannot take pictures case lense covered,0,1
phone falls easily,0,1
didnt work people hear talk,0,1
text messaging feature really tricky use,0,1
im really disappointed charger doesnt work,0,1
painful ear,0,1
lasted one day blew,0,1
disappointed,0,1
kind flops around,0,1
screen get smudged easily touches ear face,0,1
piece junk lose calls phone,0,1
item match picture,0,1
thing disappoint infra red port irda,0,1
answer calls unit never worked,0,1
slowmoving aimless movie distressed drifting young man,0,2
sure lost flat characters audience nearly half walked,0,2
attempting artiness black white clever camera angles movie disappointed became even ridiculous acting poor plot lines almost nonexistent,0,2
little music anything speak,0,2
best scene movie gerardo trying find song keeps running head,1,2
rest movie lacks art charm meaning emptiness works guess empty,0,2
wasted two hours,0,2
saw movie today thought good effort good messages kids,1,2
bit predictable,0,2
loved casting jimmy buffet science teacher,1,2
baby owls adorable,1,2
movie showed lot florida best made look appealing,1,2
songs best muppets hilarious,1,2
cool,1,2
right case movie delivers everything almost right face,1,2
average acting main person low budget clearly see,0,2
review long overdue since consider tale two sisters single greatest film ever made,1,2
ill put gem movie terms screenplay cinematography acting postproduction editing directing aspect filmmaking,1,2
practically perfect true masterpiece sea faux masterpieces,1,2
structure film easily tightly constructed history cinema 1 think film something vitally important occurs every minute 1 words content level film enough easily fill dozen films 1 anyone right mind ask anything movie 1 quite simply highest superlative form cinema imaginable 1 yes film require rather significant amount puzzlesolving pieces fit together create beautiful picture 1 short film certainly pulls punches 0 graphics far best part game 0 number one best th game series 1 deserves strong love 1 insane game 1 massive levels massive unlockable characters massive game 1 waste money game 1 kind money wasted properly 1 actually graphics good time 1 today graphics crap 0 say canada fun game aye 1 game rocks 1 buy play enjoy love 1 pure brilliance 1 flick doomed conception 0 idea lame take minor character mediocre pg13 film make complete nonsequel changing tone pgrated family movie 0 wasnt least bit interested 0 confirm film would unfunny generic also managed give away entire movie im exaggerating every moment every plot point every joke told trailer 0 funny 0 even talented carrell cant save 0 costars dont fare much better people like morgan freeman jonah hill ed helms wasted 0 story predictable lazy 0 real effects work presence animals integration scenes worst obvious bluegreenscreen work ive ever seen 0 whatever cost much didnt translate quality thats sure 0 film succeeds despite perhaps obviously meagre budget 1 im glad film didnt go obvious choice lesser film certainly would 1 addition one lovely songs ever written french cancan also boasts one cutest leading ladies ever grace screen 1 hard fall headoverheels love girl 1 negative insipid enough cause regret another 2 hours life wasted front screen 0 long whiny pointless 0 recommend waiting future efforts let one go 0 excellent cast story line performances 1 totally believable 1 anne heche utterly convincing 1 sam shepards portrayal gung ho marine sobering 1 sat riveted tv screen 1 give one resounding 9 10 1 think tom hanks good actor 1 enjoyed reading book children little 1 disappointed movie 0 one character totally annoying voice gives feeling fingernails chalkboard 0 totally unnecessary trainroller coaster scene 0 absolutely warmth charm scenes characters 0 movie totally grates nerves 0 performances improved improvisation actors twice much worry whether theyre delivering line well whether line good 0 quite honestly often good 0 often dialogue doesnt really follow one line another fit surroundings 0 crackles unpredictable youthful energy honestly found hard follow concentrate meanders badly 0 generally great things 1 wouldnt say theyre worth 2 hours time though 0 suspense builders good cross line g pg 1 especially liked noncliche choices parents movies could predict dialog verbatim writing movie made better selections 1 want movie thats gross gives chills great choice 1 alexander nevsky great film 1 amazing film artist one important whoever lived 1 im glad pretentious piece didnt planned dodge stratus big shots gonna help movie makers arent restrained movie business qubec,0,2
first movie ive given 10 years,1,2
ever movie needed wordofmouth promote,1,2
overall film interesting thoughtprovoking,1,2
plus wellpaced suited relatively short run time,1,2
give one look,1,2
gave 10,1,2
wind lion well written superbly acted,1,2
true classic,1,2
actually turned pretty decent far blist horrorsuspense films go,1,2
definitely worth checking,1,2
problem script,0,2
horrendous,0,2
nothing believable,0,2
suspense feeling frustration retarded girls,0,2
manna heaven terrific film predictable unpredictable time,1,2
scenes often funny occasionally touching characters evaluate lives going,1,2
cast veteran actors nostalgia trip,1,2
ursula burtons portrayal nun touching funny time making fun nuns church,1,2
looking movie terrific cast good musicincluding shirley jones rendition way look tonight uplifting ending give one try,1,2
dont think disappointed,1,2
frankly cotton club unfaithful kind embarrassing watch lane gere film bad,0,2
acting bad dialogs extremely shallow insincere,0,2
predictable even chick flick,0,2
politically correct,0,2
disappointing,0,2
thing really worth watching scenery house beautiful,1,2
love lane ive never seen movie lousy,0,2
hour half wish could bring back,0,2
terms writing fresh bold,1,2
acting helps writing along well maybe idiotsavant sister could played better real joy watch,1,2
directing cinematography arent quite good,0,2
movie boring sometimes found occupied peaking paper instead watching never happened columbo movie,0,2
sometimes embarrassing look away,0,2
directing seems pretentious,0,2
scenes ohsomature neighbourgirl misplace,0,2
generally lines plot weaker average episode,0,2
scene debated whether sack trumpeter falsely accused murder pure horror really stupid,0,2
applause given prelude however,1,2
really liked,1,2
great film great director,1,2
movie edge seat made somewhat afraid go car end night,1,2
music film really nice,1,2
id advise anyone go see,1,2
brilliant,1,2
1010,1,2
liked movie way much,1,2
problem thought actor playing villain low rent michael ironside,0,2
rocked world certainly must see anyone social physical outlets,1,2
however didnt make fact overall tremendously boring movie,0,2
chemistry ben affleck sandra bullock film couldnt understand would consider even leaving wifetobe chick supposedly knocked,0,2
several moments movie didnt need excruciatingly slow moving,0,2
poor remake best friends wedding,0,2
great disappointment,0,2
cannot believe actors agreed film,0,2
could stand even watch long fear losing iq,0,2
guess nobody network aired dribble watched putting,0,2
imdb ratings go low 1 awful time get negative numbers cases,0,2
saw mirrormask last night unsatisfactory experience,0,2
unfortunately inexperience direction meant scene scene passed little way dramatic tension conflict,0,2
central themes film handled ineptly stereotypically depth imagination,0,2
pretty pictures world cannot make piece work flawed core,0,2
hour half waste time following bunch pretty high schoolers whine cry life,0,2
cant relate hell barely understand,0,2
definitely cult classic well worth viewing sharing others,1,2
movie pure disaster story stupid editing worst seen confuses incredibly,0,2
fish badly made underwater shots repeated thousand times film,0,2
truly truly bad film,0,2
acting terrible writing worse,0,2
possible way movie could redeemed would mst3k fodder,0,2
paid much,0,2
also real treat see anthony quinn playing crazy horse,1,2
boring,0,2
plot whatsoever,0,2
plot,0,2
horrible,0,2
worst hour half lifeoh gosh,0,2
walk theatre minutes get relief,0,2
hate movies like,0,2
yeah movie pretty much sucked,0,2
plot storyline,0,2
go see movie bring pillow girlfriendboyfriend keep occupied,0,2
awful,0,2
dont think ive ever gone movie disliked much,0,2
good thing tickets cost five dollars would mad id paid 750 see crap,0,2
nobody identifies characters theyre cardboard cutouts stereotypes predictably reversestereotypes,0,2
bad film bad writing good actorsan ugly cartoon crafted paul haggis people cant handle anything bold strokes storytellinga picture painted crayons,0,2
crash depressing little nothing provokes emotion teaches nothing already know racism prejudice bad things,0,2
still like movie empowerment women theres enough movies like one,1,2
brain attempt shutdown part primal impulse selfpreservation,0,2
left shattered experience watching film took good two hours fully recover,0,2
movie joins revenge boogeyman zombiez part hellish trinity horror films,0,2
certainly mean distinction good way,0,2
mean terrible way,0,2
film redeeming features,0,2
everything appalling,0,2
artless camerawork endlessly presents us ugliest setting imaginable ie,0,2
story beyond stupid,0,2
script script,0,2
kids annoying,0,2
lead man charismafree,0,2
utterly without merit level akin torture,0,2
ill even say torture,0,2
maybe would reasonable explanation atrocity,0,2
pleasant voyage selfdiscovery,0,2
highly unrecommended,0,2
premise sound stupid thats,0,2
yes bad,0,2
nothing recommend,0,2
excellent performance ms,1,2
garbo showed right bat talents could carry silent era wanted see silent work netflix doesnt seem stocking,1,2
also great see renowned silent screenwriter frances marion hasnt missed step going silent sound,1,2
movie suffered writing needed suspense,0,2
many close ups,0,2
movie seemed drag heroes didnt really work freedom,0,2
movie definitely average rent,0,2
youll love 1 movie bad 0 bad 0 film way long 0 definitely one bad ones 0 movie received great quality film age 1 john wayne incredible job young movie industry 1 screen presence shined thought even though senior actors screen 1 think must see older john wayne film 1 really dont see anyone could enjoy movie 0 dont think ive ever seen movie half boring selfindulgent piece junk 0 probably would better director hadnt spent movie showcasing art work really isnt noteworthy 0 another thing didnt really like character got punched face gallon blood would spew forth soon 0 jamie foxx absolutely ray charles 1 performance simply genius 1 owns film spacek owned coal miners daughter quaid owned great balls fire,1,2
fact hard remember part ray charles acted played man 1 ray charles legendary 1 ray charles life provided excellent biographical material film goes well beyond another movie musician 1 hitchcock great director 1 ironically mostly find films total waste time watch 0 secondly hitchcock pretty much perfected thriller chase movie 1 pandering audience sabotages films 0 hence whole story lacks certain energy 0 plot simply rumbles like machine desperately depending addition new scenes 0 usual hitchcock logic flaws 0 mishima extremely uninteresting 0 chilly unremarkable movie author livingworking chilly abstruse culture 0 flat reenactments dont hold attention emotionally adrift stagy 0 rest sits awful soldiers singing songs masculinity pledge hairsplitting purity admiration swords etc 0 bore pieces kill momentum movie quicker anyone else 0 schrader made resume full lousy amateurish films 0 first watched movie 80s loved 1 totally fascinated music dancing everything 1 however recently watched whole thing dvd completely struck extremely stupid storyline contained holes inconsistencies frankly whole lot crap horrid dancing 0 mean realistic world would never gotten ballet repertory whole thing quite pathetic 0 character developments also lacked depth 0 woa talk awful 0 waste time 0 horrible 0 worst sappiest dialogue could go 0 really made unwatchable direction 0 poor actors 0 cant even tell talent pathetic lines speak director gave action 0 check directors filmography site see film didnt chance 0 would even good made tv flick 0 good intentions made film great film might one greatest films ever made 1 film great actors master director significant themeat least wouldbe significant theme undertone fifties existential worldweariness aerial scenes ought thrilled senses imagination characters one might deeply care 1 regrettably film fails 0 movie lacks visual interest drama expression feeling celebration patriotism underlines narrative 0 actress worse used june allison movie 0 yet enjoy watching 1 unfortunately bad movie plain bad 0 bad script bad direction horrible acting make one plain bad 0 dialogue sucked 0 cinematographyif called thatsucked 0 soundtrack sucked 0 acting sucked 0 concert sequences sucked 0 nice 1 funny 1 funny 1 overall movie cheap trash 0 movie funny considering ridiculousness 0 came feeling angry 0 spoilers whatever else cant said surface superbly crafted 1 cinematography simply stunning say least fx nothing stateoftheart 1 conceptually show offers little bit everything everybody parents kids fantasy andor fx fans 1 wasnt single sour note struck actingwise either surprisingly solid casting 1 things considered job well done 1 thanks good movie like done released 1 one best mexican movies ever one less understood even mexican matter identified felt 1 ranks highly great noircrimedrama incredible performances belmondo lino ventura 1 attention given every character complex psychological portrayals detailing loyalty treachery love hope tremendous 1 excellent drama excellent thriller excellent film 1 best melville 1 everything film simply incredible 1 truly take journey eyes soul child 1 black water thriller manages completely transcend limitations indie flick continually subverting expectations emerge intense experience 1 performances real gripping crocdodile extremely well done indeed black water website believed thats used real crocs swamp location fabulous 1 thoroughly enjoyed christopher eccleston took control tardis continuation series 1 im sure trying film 0 turn good day feeling night disturbing memories guess succeeded 0 lot beautiful places 1 forced like everything movie 0 lame 0 heres movie really pied 0 dont even get started jerky camerawork 0 saw theater thought going sick 0 summary witticisms werent witty 0 plot well said id let one go 0 acting bad 0 really bad 0 even billy bob couldnt rise script worse 0 camerawork bad 0 rating 1 10 0 amazing finale possibly best trilogy time 1 kieslowski never ceases amaze 1 one favourite directors one talented directors history cinema 1 use colours french flag three films nothing short incredible every shot every scene like work art 1 three visually appealing movies ive ever seen 1 subtle connections three films awesome 1 mention huge spoiler loved ending characters three films remaining survivors ferry disaster valentine young judge together old man watching tv solidifying happiness suffering dealt many years 1 couldnt think better way end film smile face great way wrap amazing film trilogy 1 recommend everyone loves film movies anythinga work art 1 10 10 movie trilogy 1 literally vomited watching film 0 think one people found another one roths pearls 1 performance awarded stunning 1 story told eloquently francis ford coppola 25 years earlier really unfolds gradually leaves room characters develop 1 wonderful location lies story contrast 1 beautiful directed film nicolas roeg wih sublime cast 1 im translating movies living first movie 5year working experience found offensive intelligence 0 someone strives greatness poetry delivers muddled often ridiculous story bunch disparate scenes pretentious dialogue get worst kind movie reviewer accurately defined pretentious crap,0,2
find movie intelligent even masterful say intelligence imagination obviously used try make sense pitiful attempt human nature try make sense things,0,2
one thing tolerate political incorrectness well im artistic freedom suspension disbelief slavic female character much,0,2
fun funny movie,1,2
highly entertaining angles,1,2
features outlandish array memorable psychotic lovable nuts,1,2
enjoyment get see run around play games dangerous,1,2
even sweet moments,1,2
telephone repair man really funny reactions nuts bitchy boss truly genuine,1,2
characters film tremendously well played,1,2
really find funny,1,2
actually smart movie,1,2
brilliant twist ending,1,2
love 1 ending perfect youll shed tear 1 thrilled seeing movie like 1 never forget 1 cult cult classic 1 depth character man underneath 0 malta settings dry barren dialogue 0 movie terrible 0 hockey scenes terrible defensemen playing like theyre 5 years old goalies diving shots 10 feet wide net etc 0 havent seen dont waste time 0 call movie drama ridiculous 0 started watching didnt believe characters 0 particular relationship bakery assistant waitress didnt work 0 superficial movie gave feeling watching play rather film 0 characters stagey storyline lot like stage farce 0 time pyromaniac waylaid assistant bored didnt care happened next switched 0 glad didnt pay see 0 didnt laugh even smile 0 wasnt anything one big yawn 0 really good show watch 1 educational children 1 8 years old 1 barney definitely super de duper 1 pretty funny 1 babie bop cute 1 kids cool 1 storm trooper even bad enough make list wonderfully terrible movies,0,2
lame,0,2
guy said hes better dialogue potted plants right,0,2
everything movie stupid,0,2
even love bad movies watch movie,0,2
shameful,0,2
would give television series 10 plus could,1,2
writers smack think best actors actresses bonus showthese characters real,1,2
must say taped episodes find watching,1,2
know gave 10,1,2
dont know exactly movie latched endearing movie become special part familys memories,1,2
totally absolutely recommend movie anyone likes good wholesome family movies exactly,1,2
things four kids get absolutely hilarious watch,1,2
one best movies shows strong sibling bond,1,2
much interesting action suspense less unneeded controversy,1,2
everything acting cinematography solid,1,2
definitely worth checking,1,2
damian talented versatile many ways writing portraying different characters screen,1,2
movie cutting edge,1,2
pleased know modern day genius letting passion art drive taking us audience,1,2
new characters werent memorable found forgetting,0,2
felt though going ireland absolutely nothing whatsoever,0,2
didnt make scared horrified make sympathetic towards characters simply annoying,0,2
jerky camera movements also annoying,0,2
plot pretty much every cheap horror,0,2
pathetic attempts give characters depth didnt really work rest plot,0,2
guess supposed clever twist shed light situation stupid,0,2
see probably leave shelf,0,2
elias koteasjack palance play good roles angelina hot gets nakedbilly drago appears cool usual cameo sven ole thorsen helps make enjoyable movie good acting decent budget,1,2
awesome movie bought ebay,1,2
really loved story line poler bear kinda cutebut anyone question fort steele ask away,1,2
totally unfunny movie top pathetic unrealistic throughout whole 90 minutes utter torture probably looked watch 70000 times,0,2
lucy bell much higher crap sink low quite depressing,0,2
movie make sick watching slackers make excuses stupid actions 90 minutes,0,2
god never get 90 minutes back,0,2
think wonderful parts literally full wonder excerpts works,1,2
sets especially designed work camera amazingstylized beautiful effective,1,2
could used exemplars set designer,1,2
stories powerful explorations nature man art,1,2
watching film wanted learn works artist,1,2
highly recommend movie anyone interested art poetry theater politics japanese history,1,2
wind lion see wonderful rendering americas imperial age,1,2
makes story different terrific production values faultless photography composition editing terrific casting underappreciated brian keith playing bully teddy vivid history,1,2
though wind lion told largely eyes son every member family identify one characters whether sean connerys noble brigand candace bergens feisty heroine john hustons wily john hay steve kanalys spiffy radiant ruthless cando lieutenant roosevelts big stick,1,2
high adventure best,1,2
think robert ryans best film portrayed someone like father schizophrenic real lifemy father although never murdered anyone affected second world war made worse,1,2
humour get get day apt,1,2
mother brother thiswhen saw robert ryan portraying type man good imitation type individual impressed,1,2
almost songs cover girl oldfashioned tuneful,0,2
annoying thing cover girl way rita hayworth put pedestal,0,2
unfortunately cover girl example hollywood used exploit women financial gain,0,2
nonlinear narration thus many flashbacks every part articulated quite well,1,2
good cinematography also makes monica bellucci look beautiful,1,2
good commentary todays love undoubtedly film worth seeing,1,2
people first timers film making think excellent job,1,2
popular cinema good house good reactions plenty laughs,1,2
feelgood film thats felt came cinema,1,2
northern humour positive community represents,1,2
rather enjoyed,1,2
liked,1,2
couldnt take seriously,0,2
really created unique feeling though,1,2
vivian schilling excellent job script,1,2
world better 95 garbage theatres today,1,2
role played well,1,2
screamy masculine right,1,2
camera really likes movie,1,2
would casted role ready script,1,2
european movie nice throwback time student 1980s experiences living abroad interacting nationalities although circumstances slightly different,1,2
fan movie sucked really bad,0,2
even worse ticker,0,2
movie bad,0,2
like 3 4 buildings used couple locations maybe poor hummh,0,2
blew,0,2
movie excellentangel beautiful scamp adorablehis little yelps hes scaredand funniest parts whenscamp caught curtain angel scamp singing ive never feeling beforei totally recommend movieits coming special edition june 20the cover scamp garbage angel underneath lid,1,2
cant explain movie romanticcharminghilariousand adorablethe junkyard scenes funnyall junkyard dogs something specialtoo funny laughedkids love itbuy comes outit new features,1,2
chosen tortured disgusting piece blatant american propaganda,0,2
show made americans stupid full hatred clichs admitted elsewhere,0,2
almost everyone involved must return school acting utterly predictable bad script pile garbage round,0,2
wish could enter negative values admins,0,2
sets bad wouldnt look place thunderbirds episode,0,2
use slowmotion needlessly repeats throughout movie well backed bad acting bad kind word continuity scenes thrown reason whatsoever vehicles looked like made corn flakes box directorial style bordered stupidity,0,2
oh yeah storyline pathetic,0,2
hate writing bad reviews films especially really like star film bad dont believe one second anyone could proud,0,2
filmmaker director would hide head sand id spent whatever amount money time movie,0,2
short monumental waste time energy would recommend anyone ever see film,0,2
came free dvd player bought still turned thing halfway embarrassed howell,0,2
110 setting 010,0,2
interesting premise billy drago always good dangerous nutbag side note id love see drago stephen mchattie lance hendrikson flick together talk raging cheekbones,1,2
soundtrack wasnt terrible either,1,2
actingeven professionals drago debbie rochonwas terrible directing worse perhaps contributory former dialog chimplike camera work barely tolerable,0,2
still sets got big 10 oyvey scale,1,2
yes simplifying things sake brevity really core problems film much going without real fulfilling explanation,0,2
good jobs quite amusing,1,2
convoluted plot didnt convince much film watched weird questioning glance,0,2
let girlfriend talk seeing bad idea hated,0,2
last 15 minutes movie also bad well,1,2
bela lugosi totally extraneous intoning odd lines,0,2
acting decidely wooden though worse period universal b movie,0,2
like armand assante cable companys summary sounded interesting watched twice already probably,1,2
believe screenwriter good job tying loose ends,1,2
810 score mostly plot,1,2
wont say dont like spoilers dont want one believe film worth time,1,2
wow bad film,0,2
frightening least barely comprehensible,0,2
plot doesnt hang together acting absolutely appalling,0,2
even good camp value,0,2
wasnt expecting oscar material,0,2
youd iq particularly stupid mollusk see one coming,0,2
film use word loosely insult moviegoing public,0,2
someone involved knew string together narrative,0,2
gets 1 10 simply theres nothing lower,0,2
one watched recently fox movie channel disappointed,0,2
know contract player little control scripts acting bad script,0,2
victor mclaglen even bad brian donlevy almost unrecognizable,0,2
considering relations screen taylor stanwyck surprising little chemistry screen two,0,2
premise film ridiculous president us,0,2
death row scenes entirely unmoving,0,2
thing worse taylors acting stanwycks singing,0,2
whatever producer going missed entirely,0,2
deeply impressed character played,1,2
knew saw film great things come gifted actor,1,2
cheap cheerless heist movie poor characterisation lots underbite style stoic emoting think chow yun fat better tomorrow cheesy clichs thrown abandoned factory ready poorly executed flying judo rolls la john woo,0,2
even squibs look awful,0,2
point proceedings look remotely like america,0,2
plot derivative predictable ending like mercy killing,0,2
awful dialogue hopeless overacting everyone gets shot top real waste space time,0,2
uneasy bad movie scared,0,2
dialogue composed things make little sense,0,2
30 minutes footage wasted show mediocre elderly actors awkwardly babbling overwrought pseudosatanic gibberish corny enough make teen goth blush almost always olde english sometimes latin may may made words,0,2
directing sloppy best,0,2
hackneyed writing certainly made even worse bad directing,0,2
course acting blah,0,2
acting whole cast could put scale balanced perfectly overacting underacting,0,2
finally get ending wouldve great handled competent people jerry falwell,0,2
loved movie great portrayal family share ups end knew special love,1,2
seen many movies starring jaclyn smith god one best though came 12 years ago,1,2
movie contained allstar cast loved opened eyes see actors havent seen,1,2
movie kind long length enjoyed every minute,1,2
overall rate movie 10 110 scale,1,2
lifetime air enough anyone knows store sells let know musthave,1,2
particularly remember senses assaulted strident cords music would blare little warning even less meaning,0,2
sort pap screened afternoon punish unemployed jobs,0,2
totally different loads understatement black comedy film get see remember,1,2
movie creates universe fascinating every way,1,2
movie really got,1,2
see,1,2
really hope team behind movie makes movies continue kinda weird style,1,2
forgot casting superb trond fausa aurvg perfect role bothersome man doesnt understand,1,2
movie good humorous comment life 2006,1,2
found move beautiful enjoyable uplifting,1,2
initially local sites film filmed buffalo intrigued,1,2
later found lost power film,1,2
entire audience applauded conclusion film,1,2
left theater lilt step joy heart hope human race,1,2
duris wholesome appearance gives fine performance,1,2
rest cast also play well,1,2
cinematography noteworthy including fine views barcelona famed gaudi towers,1,2
ten minutes film started second thoughts,0,2
half way film started dislike,0,2
time film ended disliked despised,0,2
film lacks convincing script,0,2
script looks rough draft written shooting began finished script completed,0,2
things happen characters personalities change plot twists occur real reason script calls,0,2
cast good,1,2
worth checking,1,2
probably irritating show ever seen entire life,0,2
indescribably annoying idiotic show ever seen,0,2
everything bad,0,2
could understand kind idiot would produce mess first place mention several season,0,2
script bad bad contains cheesiness unethical joke normally see rated r nc17 movie,0,2
casting also horrible cause see really really bad actors period,0,2
final word show real torture,0,2
zillion times away reality,0,2
watching washing machine twirling around wouldnt hurt eyes much show,0,2
rating 010 grade z note show bad even mother cast pull daughter show,0,2
20th century foxs road house 1948 quite silly noir implausible unmitigated bore movie,0,2
full unconvincing cardboard characters blandly written edward chodorov also produced surprisingly directed jean negulesco one would expect great deal,0,2
widmark character turns unintentionally comical,0,2
losing marbles early proceedings totally implausible unconvincing,0,2
isnt enough mess movie picture also marred constant use studio sets indoor exteriors,0,2
whatever prompted documentary beyond,0,2
serious spoilers movie huge disappointment,0,2
many problems dont know start,0,2
cast great,1,2
steve martin delivers really funny performance middleaged upper class uptight white guy,1,2
add betty white jean smart great cast everyone played parts really well,1,2
movie makes lot serious mistakes,0,2
first enough racial stereotypes racial jokes offend everyone,0,2
movie littered overt racial slurs towards black cast members return whites depicted morons boobs,0,2
putting race card aside lets look major flaw film destroy latifas character,0,2
real plot,0,2
wouldnt see movie free,0,2
steamboat willie amazingly important film cinema history,1,2
second appearance mickey mouse following silent plane crazy earlier year probably famous filmmostly groundbreaking,1,2
dont yet hear mickey speak tons sound effects music throughout filmsomething take granted huge crowd pleaser 1928,1,2
however seeing short 25 years amazed timeless film actually,1,2
adorable seeing mickey playing turkey straw highly imaginative occasionally cruel way,1,2
clever real crowdpleaserthis film still ranks among mickeys best films even 80 wonderful years,1,2
bipolarity ruthless thug one minute ruthless killer next minute luvs diaper commercial completely unconvincing,0,2
im terribly disappointed film would receive many awards accolades especially far deserving works film,0,2
original body soul 1947 masterpiece,1,2
john garfield ann revere lilli plmer william conrad canada leeand filmed one greatest cinematographers ever grace screenjames wong howe,1,2
dont think redeeming qualities remake,0,2
may bad film ever made,0,2
badwellits bad,0,2
movie solid example bad plot bad idea way,0,2
shame see good actors like thomerson james make living mess like,0,2
thought bad,0,2
films terrible credit 1986 version watchable,0,2
lets start problemsthe acting especially lead professor bad,0,2
script big flawed mess,0,2
best example dumb writing established turn zombiestudents back humans removing necklace containing piece meteorite,0,2
director paul matthews also wrotedirected weak 1995 monster movie grim clearly doesnt know pace films,0,2
movie terribly boring places,0,2
lighting awful,0,2
film looks cheap bland,0,2
one disappointing aspects lack notable gore,0,2
convention never worked well past certainly doesnt work,0,2
visual effects awful,0,2
cg opening sequence space looked like could created microsoft slideshow gods sake,0,2
explosion gas tanks end awful,0,2
okay like consider fair critic ill give credit credits duethe creature effects actually pretty cool,1,2
gotta love closeups slimy drooling teeth,1,2
sum film breeders terrible cheaply made horror movie avoided like ebola virus,0,2
recommended,0,2
almost unbearable watch screen little charisma terrible comedic timing,0,2
aside terrible lead film loads debits,0,2
understand supposed cheap popcorn comedy doesnt mean completely insult intelligence writing incredibly hackneyed borders offensive,0,2
lewis blacks considerable talent wasted incendiary unrestrained pg13 rating certainly wont allow,0,2
films sole bright spot jonah hill look almost unrecognizable fans recent superbad due amount weight lost interim,1,2
originality freshness first movie spent remake little else offer,0,2
budget evidently limited,0,2
reflected cast also belowpar script borrowed much earlier classic,0,2
however decent acting action location work balance things,0,2
filmiing less expansive,0,2
failed convey broad sweep landscapes great part original,0,2
generally lacked imagination,0,2
recommended,0,2
possible movie get worse,0,2
plot keep going first place,0,2
even women finally show sign improvement expected things happen time film might far asleep,0,2
beware trashy cult movie trash period,0,2
cant believe theres even sequel,0,2
precisely giving bad review,0,2
90s child truly enjoyed show proudly say enjoyed big time even classical wb cartoons,1,2
tiny toons kept 90s vibe delivered one popular funny underrated cartoons ever created,1,2
memories murky say enjoyed every single episode product related show,1,2
easily none cartoon made laugh tender way getting dark sitcoms oriented teenagers,1,2
characters funny peculiarity true lead character,1,2
every single character hilarious deserved called lead,1,2
every element story top excessively phony contrived painful sit,0,2
lines seem written fifteen year old though trying oh hard sound like fifteen year old would really um know well talk,0,2
perabo nice energy level obviously comfortable front camera,1,2
simply excuse something poorly done,0,2
